,id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_commune,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
9,2018-448072,2018-01-03,Vente,238600.0,34172,Montpellier,Maison,192.0,5.0,sols,543.0
36,2018-448090,2018-01-03,Vente,255000.0,34172,Montpellier,Maison,69.0,4.0,sols,359.0
83,2018-448113,2018-01-12,Vente,239560.0,34172,Montpellier,Maison,77.0,4.0,sols,235.0
181,2018-448166,2018-01-15,Vente,340000.0,34172,Montpellier,Maison,100.0,4.0,sols,86.0
198,2018-448176,2018-01-12,Vente,300000.0,34172,Montpellier,Maison,85.0,4.0,,
236,2018-448198,2018-01-08,Vente,890000.0,34172,Montpellier,Maison,161.0,6.0,sols,569.0
237,2018-448198,2018-01-08,Vente,890000.0,34172,Montpellier,Maison,41.0,2.0,sols,569.0
293,2018-448225,2018-01-04,Vente,522670.0,34172,Montpellier,Maison,115.0,4.0,sols,417.0
375,2018-448274,2018-01-15,Vente,248000.0,34172,Montpellier,Maison,92.0,4.0,sols,191.0
388,2018-448283,2018-01-05,Vente,267500.0,34172,Montpellier,Maison,86.0,4.0,sols,174.0
402,2018-448286,2018-01-05,Vente,210000.0,34172,Montpellier,Maison,88.0,4.0,,
547,2018-448374,2018-01-23,Vente,490000.0,34172,Montpellier,Maison,90.0,4.0,sols,500.0
548,2018-448374,2018-01-23,Vente,490000.0,34172,Montpellier,Maison,90.0,4.0,terrains d'agrément,697.0
568,2018-448383,2018-01-25,Vente,325000.0,34172,Montpellier,Maison,121.0,5.0,sols,242.0
593,2018-448399,2018-01-08,Vente,160000.0,34172,Montpellier,Maison,86.0,4.0,,
627,2018-448421,2018-01-12,Vente,600000.0,34172,Montpellier,Maison,117.0,5.0,sols,1115.0
687,2018-448462,2018-01-19,Vente,229100.0,34172,Montpellier,Maison,64.0,3.0,,
725,2018-448489,2018-01-30,Vente,194360.0,34172,Montpellier,Maison,65.0,3.0,,
740,2018-448493,2018-02-01,Vente,210000.0,34172,Montpellier,Maison,70.0,3.0,sols,147.0
792,2018-448526,2018-02-01,Vente,232700.0,34172,Montpellier,Maison,102.0,6.0,sols,209.0
834,2018-448548,2018-01-15,Vente,319000.0,34172,Montpellier,Maison,92.0,6.0,,
842,2018-448552,2018-01-26,Vente,315000.0,34172,Montpellier,Maison,48.0,2.0,sols,660.0
850,2018-448558,2018-01-11,Vente,193200.0,34172,Montpellier,Maison,65.0,3.0,,
863,2018-448565,2018-02-07,Vente,240000.0,34172,Montpellier,Maison,72.0,4.0,sols,229.0
866,2018-448567,2018-01-12,Vente,183000.0,34172,Montpellier,Maison,69.0,4.0,sols,233.0
895,2018-448583,2018-01-25,Vente,280600.0,34172,Montpellier,Maison,140.0,5.0,sols,405.0
936,2018-448607,2018-01-15,Vente,396270.0,34172,Montpellier,Maison,180.0,8.0,sols,562.0
993,2018-448639,2018-01-25,Vente,235000.0,34172,Montpellier,Maison,98.0,5.0,,
1015,2018-448652,2018-01-16,Vente,264200.0,34172,Montpellier,Maison,125.0,4.0,sols,201.0
1100,2018-448705,2018-02-05,Vente,375000.0,34172,Montpellier,Maison,110.0,4.0,sols,1128.0
1114,2018-448715,2018-01-23,Vente,285000.0,34172,Montpellier,Maison,79.0,4.0,sols,234.0
1125,2018-448724,2018-01-18,Vente,260000.0,34172,Montpellier,Maison,72.0,4.0,sols,301.0
1131,2018-448728,2018-02-09,Vente,409000.0,34172,Montpellier,Maison,195.0,6.0,sols,827.0
1141,2018-448735,2018-02-12,Vente,250000.0,34172,Montpellier,Maison,97.0,5.0,sols,379.0
1151,2018-448744,2018-01-25,Vente,233010.0,34172,Montpellier,Maison,100.0,4.0,sols,283.0
1172,2018-448755,2018-01-22,Vente,307200.0,34172,Montpellier,Maison,59.0,3.0,sols,400.0
1330,2018-448854,2018-02-01,Vente,218300.0,34172,Montpellier,Maison,74.0,4.0,,
1437,2018-448915,2018-02-02,Vente,278200.0,34172,Montpellier,Maison,133.0,4.0,,
1470,2018-448940,2018-02-02,Vente,272400.0,34172,Montpellier,Maison,133.0,4.0,,
1487,2018-448950,2018-02-02,Vente,210000.0,34172,Montpellier,Maison,72.0,5.0,sols,355.0
1512,2018-448966,2018-02-15,Vente,272000.0,34172,Montpellier,Maison,89.0,4.0,sols,161.0
1519,2018-448971,2018-01-19,Vente,300000.0,34172,Montpellier,Maison,82.0,5.0,sols,341.0
1524,2018-448975,2018-02-14,Vente,276350.0,34172,Montpellier,Maison,86.0,4.0,sols,161.0
1526,2018-448976,2018-01-26,Vente,240000.0,34172,Montpellier,Maison,99.0,6.0,sols,104.0
1612,2018-449032,2018-02-05,Vente,195000.0,34172,Montpellier,Maison,80.0,4.0,sols,92.0
1614,2018-449034,2018-01-29,Vente,303120.0,34172,Montpellier,Maison,122.0,5.0,sols,600.0
1630,2018-449042,2018-01-29,Vente,345000.0,34172,Montpellier,Maison,125.0,5.0,sols,526.0
